,doc_id,token,token_order,lemma,ent_type,tag,dep,pos,is_stop,is_alpha,is_digit,is_punct
0,0,",",0,",",,",",punct,PUNCT,False,False,False,True
1,0,The,1,the,,DT,det,DET,True,True,False,False
2,0,patient,2,patient,,NN,nsubj,NOUN,False,True,False,False
3,0,experienced,3,experience,,VBD,ROOT,VERB,False,True,False,False
4,0,the,4,the,,DT,det,DET,True,True,False,False
5,0,acute,5,acute,,JJ,amod,ADJ,False,True,False,False
6,0,onset,6,onset,,NN,dobj,NOUN,False,True,False,False
7,0,of,7,of,,IN,prep,ADP,True,True,False,False
8,0,knee,8,knee,,NN,compound,NOUN,False,True,False,False
9,0,pain,9,pain,,NN,pobj,NOUN,False,True,False,False
10,0,the,10,the,,DT,det,DET,True,True,False,False
11,0,morning,11,morning,,NN,npadvmod,NOUN,False,True,False,False
12,0,of,12,of,,IN,prep,ADP,True,True,False,False
13,0,her,13,her,,PRP$,poss,PRON,True,True,False,False
14,0,admission,14,admission,,NN,pobj,NOUN,False,True,False,False
15,0,",",15,",",,",",punct,PUNCT,False,False,False,True
16,0,while,16,while,,IN,mark,SCONJ,True,True,False,False
17,0,brushing,17,brush,,VBG,advcl,VERB,False,True,False,False
18,0,her,18,her,,PRP$,poss,PRON,True,True,False,False
19,0,teeth,19,tooth,,NNS,dobj,NOUN,False,True,False,False
20,0,",",20,",",,",",punct,PUNCT,False,False,False,True
21,0,about,21,about,TIME,RB,advmod,ADV,True,True,False,False
22,0,20,22,20,TIME,CD,nummod,NUM,False,False,True,False
23,0,minutes,23,minute,TIME,NNS,npadvmod,NOUN,False,True,False,False
24,0,after,24,after,,IN,prep,ADP,True,True,False,False
25,0,getting,25,get,,VBG,pcomp,VERB,False,True,False,False
26,0,up,26,up,,RP,prt,ADP,True,True,False,False
27,0,.,27,.,,.,punct,PUNCT,False,False,False,True
0,1,",",0,",",,",",punct,PUNCT,False,False,False,True
1,1,Given,1,give,,VBN,prep,VERB,False,True,False,False
2,1,the,2,the,,DT,det,DET,True,True,False,False
3,1,severe,3,severe,,JJ,amod,ADJ,False,True,False,False
4,1,pain,4,pain,,NN,pobj,NOUN,False,True,False,False
5,1,",",5,",",,",",punct,PUNCT,False,False,False,True
6,1,the,6,the,,DT,det,DET,True,True,False,False
7,1,patient,7,patient,,NN,nsubj,NOUN,False,True,False,False
8,1,presented,8,present,,VBD,ROOT,VERB,False,True,False,False
9,1,to,9,to,,IN,prep,ADP,True,True,False,False
10,1,the,10,the,,DT,det,DET,True,True,False,False
11,1,emergency,11,emergency,,NN,compound,NOUN,False,True,False,False
12,1,room,12,room,,NN,pobj,NOUN,False,True,False,False
13,1,.,13,.,,.,punct,PUNCT,False,False,False,True
0,2,",",0,",",,",",punct,PUNCT,False,False,False,True
1,2,The,1,the,,DT,det,DET,True,True,False,False
2,2,patient,2,patient,,NN,nsubjpass,NOUN,False,True,False,False
3,2,was,3,be,,VBD,auxpass,AUX,True,True,False,False
4,2,given,4,give,,VBN,ROOT,VERB,False,True,False,False
5,2,normal,5,normal,,JJ,amod,ADJ,False,True,False,False
6,2,saline,6,saline,,NN,dobj,NOUN,False,True,False,False
7,2,1,7,1,CARDINAL,CD,nummod,NUM,False,False,True,False
